candidate,family,channel,time_h,amount
cold_synthesis_hot_stripping,aroma_partition,N,0.0,0.08
cold_synthesis_hot_stripping,aroma_partition,N,48.0,0.05
cold_synthesis_hot_stripping,aroma_partition,G,96.0,35.0
low_temp_growth_separation_plus_co2,legacy_plus,N,0.0,0.07
low_temp_growth_separation_plus_co2,legacy_plus,N,32.0,0.07
low_temp_growth_separation_plus_co2,legacy_plus,N,64.0,0.06
hot_synthesis_cold_retention,aroma_partition,N,0.0,0.08
hot_synthesis_cold_retention,aroma_partition,N,48.0,0.05
hot_synthesis_cold_retention,aroma_partition,F,96.0,35.0
fructose_rich_iG_probe,sugar_initial,N,0.0,0.08
fructose_rich_iG_probe,sugar_initial,N,48.0,0.06
fructose_rich_iG_probe,sugar_initial,G,72.0,35.0
high_biomass_low_N_maintenance,maintenance,N,72.0,0.015
high_biomass_low_N_maintenance,maintenance,G,48.0,20.0
high_biomass_low_N_maintenance,maintenance,F,96.0,20.0
glucose_rich_growth_yield,sugar_initial,N,0.0,0.08
glucose_rich_growth_yield,sugar_initial,N,36.0,0.06
glucose_rich_growth_yield,sugar_initial,F,72.0,35.0
combined_stress_long_horizon,integrated,N,0.0,0.05
combined_stress_long_horizon,integrated,N,60.0,0.05
combined_stress_long_horizon,integrated,G,72.0,25.0
combined_stress_long_horizon,integrated,F,96.0,25.0
combined_stress_long_horizon,integrated,E,120.0,20.0
viable_biomass_step,biomass_input,N,0.0,0.06
viable_biomass_step,biomass_input,N,48.0,0.05
viable_biomass_step,biomass_input,X,48.0,1.2
ethanol_partition_late_pulse,aroma_partition,N,0.0,0.06
ethanol_partition_late_pulse,aroma_partition,G,72.0,30.0
ethanol_partition_late_pulse,aroma_partition,E,108.0,25.0
