profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0,objective_improvement,lr_stat_vs_obj_hat
betaF0,0.9291649234612388,1.0619027696699872,3673.0515108685245,-7.319106754978748,True,optimal,,1.9129324953627773,,0.8418727445853765,0.001,0.029253549977566323,38.09552544368767,8.446539328265388,0.0013864598326260992,7.9194093270862,1.616043502078351,0.07148795830192724,0.8710176906086474,0.6889895320575005,1.0,3.659553377489374,-7.319106754978748
Yef,0.643937065416657,0.7359280747618938,3673.0840221968747,-7.254084098278327,True,optimal,,2.0,1.0074873688547665,0.8393216883404762,0.001,0.2878376930516453,36.56948126730302,7.920151884329085,0.0015077750266168743,7.965318873613943,1.0269455734466915,0.08071106634393803,0.8767874558617605,,1.0,3.6270420491391633,-7.254084098278327
Yeg,0.9416183606688899,0.8369940983723466,3673.0935988563415,-7.234930779344722,True,optimal,,2.0,1.0294452392678224,0.8399277625797493,0.001,0.04519389624779168,33.84586671004922,7.8257709673371,0.0014862612122033812,7.9630266536948255,0.26573887105256794,0.07273074965968176,,0.6930760773608314,1.0,3.617465389672361,-7.234930779344722
Kig0,26.048973923201416,41.678358277122264,3673.682471347883,-6.057185796261365,True,optimal,,2.0,1.0376025633307648,0.8369361395990873,0.001,0.08050424425131007,,8.028271002956796,0.001522055613838627,7.999625202903448,0.7808389702861707,0.06782706709532127,0.8985976635238131,0.6997878738752709,1.0,3.0285928981306824,-6.057185796261365
Kf0,1.2582910560954863,0.059378448763891034,3674.5270276304673,-4.368073231093149,True,optimal,,2.0,1.2019607497654454,0.8377630190852872,0.001,,37.192436627274496,7.516806982772949,0.0014293433002816982,7.964490216801642,1.8036235790138464,0.08518298603604431,0.8308908131985386,0.6723040729922216,1.0,2.1840366155465745,-4.368073231093149
Kig0,31.258768707841696,41.678358277122264,3674.68995707986,-4.042214332307594,True,optimal,,2.0,1.0442518521874005,0.8389880393187477,0.001,0.0727489446878875,,7.912805051643234,0.0014454156176474846,7.952595076787558,1.0936939717269027,0.06953049966520355,0.8746736872239341,0.714347467846947,1.0,2.021107166153797,-4.042214332307594
betaG0,1.625,2.0,3674.836082331428,-3.749963829171975,True,optimal,,,0.8783187066525674,0.8351390349724955,0.001,0.0471666575704611,44.91850745510411,9.661222368706488,0.0015047228128154994,8.004853052815525,3.3130973899764906,0.07752698553790408,0.8273069036677462,0.7208215806386316,1.0,1.8749819145859874,-3.749963829171975
betaF0,0.7964270772524904,1.0619027696699872,3675.3911995239923,-2.6397294440430414,True,optimal,,1.7344273500853866,,0.8416619937526205,0.001,0.02669786494342174,38.70324570330687,9.672608583570442,0.001361906523137323,7.913091260471831,1.3759092659292336,0.07064155429705898,0.8848063694798781,0.6729968216361364,1.0,1.3198647220215207,-2.6397294440430414
Yeg,1.0462426229654334,0.8369940983723466,3675.704211321127,-2.0137058497739417,True,optimal,,2.0,0.9729154563266715,0.8414369336779626,0.001,0.0857601234189233,29.003683677599252,8.026478645068012,0.0014486783101165662,7.94237259823965,0.1541507296910009,0.0730087986926372,,0.6355135988024572,1.0,1.0068529248869709,-2.0137058497739417
Yxg,3.053290205764467,3.053290205764467,3676.0957495323973,-1.2306294272329978,True,optimal,,2.0,1.063619513595973,0.8421055522855703,0.001,0.07723813884860785,41.490597668403105,7.718313789027645,0.001325025041857356,7.883252500203749,,0.07380609252659841,0.8370577665767462,0.7227058639665648,1.0,0.6153147136164989,-1.2306294272329978
Yxg,1.9083063786027918,3.053290205764467,3676.100082324341,-1.2219638433452928,True,optimal,,2.0,1.0632478690233769,0.8421282678522779,0.001,0.07732071660459468,41.338796877694236,7.7172265340896455,0.0013265019371648495,7.883280891555687,,0.0738336972806386,0.841479821582572,0.7219772085710487,1.0,0.6109819216726464,-1.2219638433452928
betaG0,1.75,2.0,3676.1746604326067,-1.0728076268142104,True,optimal,,,0.9326131658451962,0.8380065840527323,0.001,0.048810809043087745,43.67979294889298,8.932287633657332,0.0014394993911639616,7.956391089792065,2.230794803187497,0.07469875716148965,0.8356606221099511,0.7321953342955945,1.0,0.5364038134071052,-1.0728076268142104
Kig0,20.839179138561132,41.678358277122264,3676.263199920637,-0.8957286507538811,True,optimal,,2.0,0.9992996092820774,0.8370572265276914,0.001,0.11960330862240787,,8.289805864810585,0.001519308952270693,8.000350609679476,0.6316294517325395,0.06439738729636871,0.9307703697590425,0.6806967203856615,1.0,0.44786432537694054,-0.8957286507538811
Kig0,57.30774263104311,41.678358277122264,3676.4962046412898,-0.4297192094481943,True,optimal,,2.0,1.1227257769136074,0.8437114195416253,0.001,0.09457524351940719,,7.377937096527524,0.0012861954742123898,7.857937257070379,10.0,0.08208021690449119,0.7981721485323113,0.7290795911796805,1.0,0.21485960472409715,-0.4297192094481943
