policy,objective,campaign_order,candidate,family,medium,horizon_h,temperature_segments,score,rationale,campaign_logdet,campaign_min_eigenvalue,campaign_max_eigenvalue,campaign_min_relative_eigenvalue,campaign_condition_number,campaign_trace_inv,campaign_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction
front_loaded,d_opt,2,synthetic_high_biomass_low_N_maintenance,maintenance,synthetic,216.0,"16, 18, 20, 18",176.59570543009985,High biomass with low N creates low-growth sugar consumption windows for m0.,176.59570543009985,0.4354500124720944,184820.4357287672,2.356070695077995e-06,424435.48153672705,2.6823936756446183,26,0.7664121313075861,0.23358786869241388,0.806794721787666,0.19320527821233402,0.5333706792542837,0.4666293207457163,0.31872152737305887,0.6812784726269412,0.6455915028424833,0.35440849715751666,0.35499873942269944,0.6450012605773006,0.3432668871929807,0.6567331128070193,0.5453399057340041,0.45466009426599585,0.8809689752509285,0.11903102474907146,0.5248595861123606,0.4751404138876394,0.35630190321486943,0.6436980967851306,0.6770670305284474,0.3229329694715526,0.5948001775770209,0.40519982242297914,0.6687139056289326,0.3312860943710674,0.8002504254241222,0.19974957457587783,0.9210825531725376,0.07891744682746238,0.4331722126924516,0.5668277873075485,0.011516454065109986,0.98848354593489,0.00047559671640773354,0.9995244032835923,0.020615942777687173,0.9793840572223128,0.00041941290868740985,0.9995805870913126,0.01837881172823355,0.9816211882717665,0.0003861935122129392,0.9996138064877871,0.20591343110702687,0.7940865688929731,0.16992067998965923,0.8300793200103408,0.12982903982536015,0.8701709601746399,0.826208151954966,0.07891744682746238
front_loaded,d_opt,3,synthetic_lit_SM410_18C_highN_ester,literature_nitrogen_high,synthetic,216.0,"18, 18, 18, 18",183.11464241647192,Literature SM410-like high YAN tests ester capacity and nitrogen-saturated aroma phase.,183.11464241647192,0.45378588785897833,209545.79504446953,2.1655690478669663e-06,461772.39233492746,2.487510853925857,26,0.5066098029529056,0.4933901970470944,0.5177824031007128,0.4822175968992872,0.4219548794615365,0.5780451205384636,0.2958264567521636,0.7041735432478364,0.49553803348847725,0.5044619665115228,0.31600022718820775,0.6839997728117923,0.3044300293320668,0.6955699706679332,0.4510266298646231,0.548973370135377,0.7756128611573759,0.22438713884262407,0.45057694996281367,0.5494230500371864,0.3419043672236647,0.6580956327763353,0.5708368190728886,0.42916318092711137,0.5499547245815146,0.4500452754184854,0.6063220979542658,0.39367790204573416,0.6353997441773956,0.36460025582260436,0.8550858048014792,0.14491419519852078,0.34931383670105515,0.6506861632989449,0.004805500657568749,0.9951944993424312,0.00039747150457074255,0.9996025284954293,0.008640568547261347,0.9913594314527386,0.0003505427749929335,0.9996494572250071,0.007669226429466289,0.9923307735705337,0.0003199075838873436,0.9996800924161127,0.16448812113241074,0.8355118788675893,0.13963508250360152,0.8603649174963985,0.10644305881288264,0.8935569411871174,0.8511682616864384,0.14491419519852078
front_loaded,d_opt,4,synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",187.00392680179016,High glucose plus fructose pulse separates glucose and fructose uptake/yield directions.,187.00392680179016,0.49707408406383913,227655.84054116358,2.183445339606654e-06,457991.7719305716,2.221760042388387,26,0.4727837766025274,0.5272162233974726,0.4715589260123004,0.5284410739876997,0.3122796909965053,0.6877203090034947,0.24586350416976832,0.7541364958302317,0.4354778045067599,0.5645221954932401,0.287065092352108,0.712934907647892,0.26355991945449175,0.7364400805455082,0.40710956240338836,0.5928904375966116,0.710741954194384,0.289258045805616,0.38605271814037123,0.6139472818596288,0.312132091086228,0.687867908913772,0.5430173493958615,0.45698265060413845,0.5440809053680189,0.4559190946319811,0.5964914647395553,0.4035085352604447,0.5838148400381215,0.41618515996187855,0.8303488409038616,0.16965115909613837,0.3180321351140123,0.6819678648859877,0.00391163846281988,0.9960883615371802,0.0003241517568722378,0.9996758482431277,0.007050285596718842,0.9929497144032812,0.0002829822265265978,0.9997170177734734,0.006256707929928103,0.993743292070072,0.00025677183002576035,0.9997432281699742,0.1176957924806663,0.8823042075193337,0.09980082539680521,0.9001991746031948,0.07551626608294083,0.9244837339170592,0.8673203274744382,0.16965115909613837
front_loaded,d_opt,5,synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,"18, 20, 20, 18",189.63538633863303,Synthetic high-sugar operating point close to the current synthetic dataset.,189.63538633863303,0.5149772165386602,253509.36966063874,2.031393227114392e-06,492272.9812486905,2.1203257397045348,26,0.45289264490592773,0.5471073550940723,0.4412904320497976,0.5587095679502023,0.27239587824564365,0.7276041217543563,0.23634525890501465,0.7636547410949853,0.3800154719551515,0.6199845280448485,0.2710851615850114,0.7289148384149886,0.24697423856509088,0.7530257614349092,0.3692804755280719,0.6307195244719281,0.6700964312109579,0.32990356878904215,0.3518471265754176,0.6481528734245824,0.3012805569527884,0.6987194430472117,0.5221075573826499,0.4778924426173501,0.5373194131256064,0.4626805868743936,0.5883093478986737,0.41169065210132627,0.5487048056504651,0.4512951943495349,0.8124970022803619,0.18750299771963808,0.2917658957761934,0.7082341042238066,0.0034303789342418,0.9965696210657582,0.000280964749102663,0.9997190352508973,0.006202749944669551,0.9937972500553305,0.0002434853065184142,0.9997565146934816,0.005497732934504924,0.994502267065495,0.00021952815288287257,0.9997804718471172,0.09741712006041937,0.9025828799395806,0.0834527058992034,0.9165472941007966,0.06351046727818262,0.9364895327218173,0.8759529062439744,0.18750299771963808
front_loaded,d_opt,6,synthetic_lit_SM410_24C_highN_strip,literature_temp_strip,synthetic,168.0,"20, 24, 24, 20",191.84656077905623,High YAN plus warm high-rate fermentation excites CO2 stripping and temperature-partition effects.,191.84656077905623,0.5248296215923308,273866.8557023492,1.9163677921023754e-06,521820.50028243137,2.0558486786398658,26,0.4325086610346094,0.5674913389653906,0.4290472085861326,0.5709527914138675,0.2502421598908594,0.7497578401091406,0.22805951752716488,0.7719404824728351,0.33934265434415833,0.6606573456558417,0.256549900620528,0.7434500993794719,0.2409725020650588,0.7590274979349412,0.3371152690174362,0.6628847309825638,0.6512209532992914,0.3487790467007086,0.32976099326294855,0.6702390067370514,0.2956245471736196,0.7043754528263804,0.4785324382975059,0.5214675617024941,0.5320906108398409,0.4679093891601591,0.5875747118804623,0.4124252881195377,0.503124190682626,0.49687580931737396,0.7887649801016386,0.21123501989836135,0.2863993593888214,0.7136006406111786,0.00278547462673543,0.9972145253732646,0.00024399574984742764,0.9997560042501525,0.005041450023259943,0.99495854997674,0.00021154118031394028,0.999788458819686,0.004464949209249038,0.995535050790751,0.0001907820645211621,0.9998092179354788,0.08099008844806387,0.9190099115519361,0.06972022956409221,0.9302797704359078,0.05285158687458729,0.9471484131254128,0.8825759602517156,0.21123501989836135
front_loaded,d_opt,7,synthetic_viable_biomass_step,biomass_input,synthetic,216.0,"18, 22, 22, 18",193.7467485047454,Known viable biomass addition tests rate proportionality to X and supports yield separation.,193.7467485047454,0.5452874654586283,287618.35685796617,1.8958715688926149e-06,527461.8895119058,1.9727919324232197,26,0.40871129130176526,0.5912887086982348,0.402428372134979,0.5975716278650209,0.23662084235932343,0.7633791576406765,0.21197415343921058,0.7880258465607894,0.3133335829474151,0.6866664170525849,0.2422418438673734,0.7577581561326265,0.2363693047243872,0.7636306952756128,0.31675498096115223,0.6832450190388477,0.5980874321897786,0.40191256781022144,0.315992374082416,0.684007625917584,0.28453209952128805,0.7154679004787119,0.45964792084462475,0.5403520791553753,0.5153028290587767,0.48469717094122333,0.564458896143062,0.435541103856938,0.47891559218003804,0.5210844078199619,0.7752726311233322,0.22472736887666778,0.2455538747209523,0.7544461252790478,0.0025645492616645656,0.9974354507383354,0.0002304630798514511,0.9997695369201486,0.004640400335977283,0.9953595996640228,0.00019886470814471863,0.9998011352918553,0.004107595388508225,0.9958924046114918,0.0001778269513893774,0.9998221730486107,0.07581555200138335,0.9241844479986167,0.0640916853435367,0.9359083146564633,0.04713590369824521,0.9528640963017548,0.8891100593988195,0.22472736887666778
front_loaded,d_opt,8,synthetic_lit_SM230_18C_midN_reference,literature_nitrogen_mid,synthetic,216.0,"18, 18, 18, 18",195.30628330064926,Literature SM230-like mid YAN reference near reported higher-alcohol optimum.,195.30628330064926,0.559201368206821,310317.6061324236,1.8020291377479555e-06,554929.9836792467,1.9161944013169898,26,0.39927168185394724,0.6007283181460528,0.38642194739973906,0.613578052600261,0.216996229293103,0.783003770706897,0.20539912254155326,0.7946008774584468,0.2857390836052722,0.7142609163947278,0.23160563782889354,0.7683943621711065,0.22595135976980207,0.7740486402301979,0.2957755747426409,0.7042244252573591,0.5898591521748551,0.4101408478251449,0.2972060427542383,0.7027939572457618,0.2774523508862425,0.7225476491137575,0.4470344491514964,0.5529655508485036,0.5045051921189373,0.4954948078810627,0.5569304831540691,0.4430695168459309,0.46029550030765587,0.5397044996923441,0.7647715152685991,0.2352284847314009,0.23311123998380046,0.7668887600161995,0.0024100921507024075,0.9975899078492976,0.00020939923898821,0.9997906007610118,0.004364594549041656,0.9956354054509583,0.00017946187957531122,0.9998205381204247,0.0038597854926493203,0.9961402145073507,0.0001598703289356365,0.9998401296710644,0.06905232973077476,0.9309476702692252,0.05835290465339955,0.9416470953466004,0.04298866034645979,0.9570113396535402,0.8927763769433703,0.2352284847314009
front_loaded,d_opt,9,natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,"18, 20, 22, 19",196.73148451176792,Natural must with glucose perturbation to test sugar-transfer validity.,196.73148451176792,0.5639504409225162,323110.08621367346,1.745381728967676e-06,572940.5684746456,1.891472085351197,26,0.39091834034302375,0.6090816596569762,0.3709903509701663,0.6290096490298337,0.20819695144151873,0.7918030485584813,0.20051234532728968,0.7994876546727103,0.26820219134925544,0.7317978086507446,0.2231478393276216,0.7768521606723784,0.22348850713292365,0.7765114928670763,0.28092718225267754,0.7190728177473225,0.5654519862078011,0.4345480137921989,0.28799403160349313,0.7120059683965069,0.2751156098312791,0.724884390168721,0.4065270299888474,0.5934729700111526,0.47291430739776863,0.5270856926022314,0.5255746330177283,0.47442536698227167,0.4347359494114287,0.5652640505885713,0.7487708157192381,0.2512291842807619,0.22103150843925085,0.7789684915607491,0.0022382961267202782,0.9977617038732797,0.0001981871677437464,0.9998018128322562,0.004057892999152909,0.9959421070008471,0.00016900268806770908,0.9998309973119323,0.003587191157800281,0.9964128088421997,0.00014976164522154586,0.9998502383547785,0.064228518732331,0.935771481267669,0.05359448636036828,0.9464055136396318,0.03882043200737425,0.9611795679926257,0.8966503551778846,0.2512291842807619
front_loaded,dopt_exchange_from_hybrid_front_loaded,1,synthetic_fructose_rich_glucose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",166.50386507009145,Fructose-rich run probes iG and fructose kinetic directions.,166.50386507009145,0.4146874079562527,174764.50464973273,2.372835426663894e-06,421436.7287182481,3.1855083726564777,26,0.8431292383582233,0.1568707616417767,0.825586324849056,0.17441367515094397,0.5869082433946705,0.4130917566053295,0.34201198166411256,0.6579880183358875,0.6936940339522832,0.30630596604771676,0.3781057661145505,0.6218942338854495,0.36225053990880207,0.6377494600911979,0.6380612053145274,0.36193879468547263,0.9155122155787715,0.0844877844212285,0.5567784235952182,0.44322157640478177,0.3741444978719163,0.6258555021280837,0.9056106538732775,0.09438934612672245,0.9737860047027166,0.02621399529728341,0.9730742822952388,0.026925717704761154,0.8031710270652216,0.1968289729347784,0.9229969853320668,0.07700301466793325,0.7703183195782545,0.22968168042174553,0.020862100398920225,0.9791378996010798,0.001922059066267553,0.9980779409337325,0.03689312848875485,0.9631068715112452,0.0016428463820920677,0.9983571536179079,0.032624704782314856,0.9673752952176852,0.001552780976444499,0.9984472190235555,0.41925219294390115,0.5807478070560989,0.3627971101641173,0.6372028898358827,0.28089486026386695,0.719105139736133,0.7407493556020909,0.07700301466793325
front_loaded,dopt_exchange_from_hybrid_front_loaded,2,synthetic_high_biomass_low_N_maintenance,maintenance,synthetic,216.0,"16, 18, 20, 18",176.59570543009985,High biomass with low N creates low-growth sugar consumption windows for m0.,176.59570543009985,0.4354500124720944,184820.4357287672,2.356070695077995e-06,424435.48153672705,2.6823936756446183,26,0.7664121313075861,0.23358786869241388,0.806794721787666,0.19320527821233402,0.5333706792542837,0.4666293207457163,0.31872152737305887,0.6812784726269412,0.6455915028424833,0.35440849715751666,0.35499873942269944,0.6450012605773006,0.3432668871929807,0.6567331128070193,0.5453399057340041,0.45466009426599585,0.8809689752509285,0.11903102474907146,0.5248595861123606,0.4751404138876394,0.35630190321486943,0.6436980967851306,0.6770670305284474,0.3229329694715526,0.5948001775770209,0.40519982242297914,0.6687139056289326,0.3312860943710674,0.8002504254241222,0.19974957457587783,0.9210825531725376,0.07891744682746238,0.4331722126924516,0.5668277873075485,0.011516454065109986,0.98848354593489,0.00047559671640773354,0.9995244032835923,0.020615942777687173,0.9793840572223128,0.00041941290868740985,0.9995805870913126,0.01837881172823355,0.9816211882717665,0.0003861935122129392,0.9996138064877871,0.20591343110702687,0.7940865688929731,0.16992067998965923,0.8300793200103408,0.12982903982536015,0.8701709601746399,0.826208151954966,0.07891744682746238
front_loaded,dopt_exchange_from_hybrid_front_loaded,3,synthetic_lit_SM410_18C_highN_ester,literature_nitrogen_high,synthetic,216.0,"18, 18, 18, 18",183.11464241647192,Literature SM410-like high YAN tests ester capacity and nitrogen-saturated aroma phase.,183.11464241647192,0.45378588785897833,209545.79504446953,2.1655690478669663e-06,461772.39233492746,2.487510853925857,26,0.5066098029529056,0.4933901970470944,0.5177824031007128,0.4822175968992872,0.4219548794615365,0.5780451205384636,0.2958264567521636,0.7041735432478364,0.49553803348847725,0.5044619665115228,0.31600022718820775,0.6839997728117923,0.3044300293320668,0.6955699706679332,0.4510266298646231,0.548973370135377,0.7756128611573759,0.22438713884262407,0.45057694996281367,0.5494230500371864,0.3419043672236647,0.6580956327763353,0.5708368190728886,0.42916318092711137,0.5499547245815146,0.4500452754184854,0.6063220979542658,0.39367790204573416,0.6353997441773956,0.36460025582260436,0.8550858048014792,0.14491419519852078,0.34931383670105515,0.6506861632989449,0.004805500657568749,0.9951944993424312,0.00039747150457074255,0.9996025284954293,0.008640568547261347,0.9913594314527386,0.0003505427749929335,0.9996494572250071,0.007669226429466289,0.9923307735705337,0.0003199075838873436,0.9996800924161127,0.16448812113241074,0.8355118788675893,0.13963508250360152,0.8603649174963985,0.10644305881288264,0.8935569411871174,0.8511682616864384,0.14491419519852078
front_loaded,dopt_exchange_from_hybrid_front_loaded,4,synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",187.00392680179016,High glucose plus fructose pulse separates glucose and fructose uptake/yield directions.,187.00392680179016,0.49707408406383913,227655.84054116358,2.183445339606654e-06,457991.7719305716,2.221760042388387,26,0.4727837766025274,0.5272162233974726,0.4715589260123004,0.5284410739876997,0.3122796909965053,0.6877203090034947,0.24586350416976832,0.7541364958302317,0.4354778045067599,0.5645221954932401,0.287065092352108,0.712934907647892,0.26355991945449175,0.7364400805455082,0.40710956240338836,0.5928904375966116,0.710741954194384,0.289258045805616,0.38605271814037123,0.6139472818596288,0.312132091086228,0.687867908913772,0.5430173493958615,0.45698265060413845,0.5440809053680189,0.4559190946319811,0.5964914647395553,0.4035085352604447,0.5838148400381215,0.41618515996187855,0.8303488409038616,0.16965115909613837,0.3180321351140123,0.6819678648859877,0.00391163846281988,0.9960883615371802,0.0003241517568722378,0.9996758482431277,0.007050285596718842,0.9929497144032812,0.0002829822265265978,0.9997170177734734,0.006256707929928103,0.993743292070072,0.00025677183002576035,0.9997432281699742,0.1176957924806663,0.8823042075193337,0.09980082539680521,0.9001991746031948,0.07551626608294083,0.9244837339170592,0.8673203274744382,0.16965115909613837
front_loaded,dopt_exchange_from_hybrid_front_loaded,5,synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,"18, 20, 20, 18",189.63538633863303,Synthetic high-sugar operating point close to the current synthetic dataset.,189.63538633863303,0.5149772165386602,253509.36966063874,2.031393227114392e-06,492272.9812486905,2.1203257397045348,26,0.45289264490592773,0.5471073550940723,0.4412904320497976,0.5587095679502023,0.27239587824564365,0.7276041217543563,0.23634525890501465,0.7636547410949853,0.3800154719551515,0.6199845280448485,0.2710851615850114,0.7289148384149886,0.24697423856509088,0.7530257614349092,0.3692804755280719,0.6307195244719281,0.6700964312109579,0.32990356878904215,0.3518471265754176,0.6481528734245824,0.3012805569527884,0.6987194430472117,0.5221075573826499,0.4778924426173501,0.5373194131256064,0.4626805868743936,0.5883093478986737,0.41169065210132627,0.5487048056504651,0.4512951943495349,0.8124970022803619,0.18750299771963808,0.2917658957761934,0.7082341042238066,0.0034303789342418,0.9965696210657582,0.000280964749102663,0.9997190352508973,0.006202749944669551,0.9937972500553305,0.0002434853065184142,0.9997565146934816,0.005497732934504924,0.994502267065495,0.00021952815288287257,0.9997804718471172,0.09741712006041937,0.9025828799395806,0.0834527058992034,0.9165472941007966,0.06351046727818262,0.9364895327218173,0.8759529062439744,0.18750299771963808
front_loaded,dopt_exchange_from_hybrid_front_loaded,6,synthetic_lit_SM410_24C_highN_strip,literature_temp_strip,synthetic,168.0,"20, 24, 24, 20",191.84656077905623,High YAN plus warm high-rate fermentation excites CO2 stripping and temperature-partition effects.,191.84656077905623,0.5248296215923308,273866.8557023492,1.9163677921023754e-06,521820.50028243137,2.0558486786398658,26,0.4325086610346094,0.5674913389653906,0.4290472085861326,0.5709527914138675,0.2502421598908594,0.7497578401091406,0.22805951752716488,0.7719404824728351,0.33934265434415833,0.6606573456558417,0.256549900620528,0.7434500993794719,0.2409725020650588,0.7590274979349412,0.3371152690174362,0.6628847309825638,0.6512209532992914,0.3487790467007086,0.32976099326294855,0.6702390067370514,0.2956245471736196,0.7043754528263804,0.4785324382975059,0.5214675617024941,0.5320906108398409,0.4679093891601591,0.5875747118804623,0.4124252881195377,0.503124190682626,0.49687580931737396,0.7887649801016386,0.21123501989836135,0.2863993593888214,0.7136006406111786,0.00278547462673543,0.9972145253732646,0.00024399574984742764,0.9997560042501525,0.005041450023259943,0.99495854997674,0.00021154118031394028,0.999788458819686,0.004464949209249038,0.995535050790751,0.0001907820645211621,0.9998092179354788,0.08099008844806387,0.9190099115519361,0.06972022956409221,0.9302797704359078,0.05285158687458729,0.9471484131254128,0.8825759602517156,0.21123501989836135
front_loaded,dopt_exchange_from_hybrid_front_loaded,7,synthetic_viable_biomass_step,biomass_input,synthetic,216.0,"18, 22, 22, 18",193.7467485047454,Known viable biomass addition tests rate proportionality to X and supports yield separation.,193.7467485047454,0.5452874654586283,287618.35685796617,1.8958715688926149e-06,527461.8895119058,1.9727919324232197,26,0.40871129130176526,0.5912887086982348,0.402428372134979,0.5975716278650209,0.23662084235932343,0.7633791576406765,0.21197415343921058,0.7880258465607894,0.3133335829474151,0.6866664170525849,0.2422418438673734,0.7577581561326265,0.2363693047243872,0.7636306952756128,0.31675498096115223,0.6832450190388477,0.5980874321897786,0.40191256781022144,0.315992374082416,0.684007625917584,0.28453209952128805,0.7154679004787119,0.45964792084462475,0.5403520791553753,0.5153028290587767,0.48469717094122333,0.564458896143062,0.435541103856938,0.47891559218003804,0.5210844078199619,0.7752726311233322,0.22472736887666778,0.2455538747209523,0.7544461252790478,0.0025645492616645656,0.9974354507383354,0.0002304630798514511,0.9997695369201486,0.004640400335977283,0.9953595996640228,0.00019886470814471863,0.9998011352918553,0.004107595388508225,0.9958924046114918,0.0001778269513893774,0.9998221730486107,0.07581555200138335,0.9241844479986167,0.0640916853435367,0.9359083146564633,0.04713590369824521,0.9528640963017548,0.8891100593988195,0.22472736887666778
front_loaded,dopt_exchange_from_hybrid_front_loaded,8,natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,"18, 20, 22, 19",195.28479260319236,Natural must with glucose perturbation to test sugar-transfer validity.,195.28479260319236,0.5504551867935178,300402.68826977466,1.8323910147541194e-06,545735.0488777559,1.9442559302094318,26,0.39946826817415354,0.6005317318258465,0.38517207398528847,0.6148279260147116,0.2253168589065786,0.7746831410934214,0.20635219233895266,0.7936478076610474,0.2914749549630154,0.7085250450369847,0.23234438059404913,0.7676556194059508,0.23342182524303984,0.7665781747569602,0.2988209657702438,0.7011790342297561,0.5729109811903649,0.4270890188096351,0.3048094045864669,0.6951905954135331,0.2818605628643187,0.7181394371356813,0.4171997009082794,0.5828002990917206,0.48319432165230997,0.51680567834769,0.5328695471933472,0.4671304528066528,0.45083760974194265,0.5491623902580574,0.758027198530036,0.24197280146996403,0.2320557269723196,0.7679442730276804,0.0023690049808236043,0.9976309950191764,0.0002167505146745333,0.9997832494853255,0.004293219401187547,0.9957067805988125,0.00018604672035167728,0.9998139532796483,0.003798943715305251,0.9962010562846948,0.0001654665141151699,0.9998345334858848,0.07003334989010737,0.9299666501098927,0.058443012827577474,0.9415569871724225,0.04224302175814352,0.9577569782418565,0.8934698416523053,0.24197280146996403
front_loaded,dopt_exchange_from_hybrid_front_loaded,9,synthetic_lit_SM230_18C_midN_reference,literature_nitrogen_mid,synthetic,216.0,"18, 18, 18, 18",196.73148451176843,Literature SM230-like mid YAN reference near reported higher-alcohol optimum.,196.73148451176843,0.5639504409228218,323110.08621367346,1.7453817289686216e-06,572940.5684743351,1.891472085351235,26,0.3909183403430242,0.6090816596569758,0.3709903509701667,0.6290096490298334,0.208196951441519,0.791803048558481,0.20051234532728895,0.799487654672711,0.2682021913492549,0.7317978086507451,0.22314783932762233,0.7768521606723777,0.22348850713292412,0.7765114928670759,0.2809271822526776,0.7190728177473225,0.5654519862078011,0.4345480137921989,0.2879940316035068,0.7120059683964932,0.27511560983128497,0.724884390168715,0.40652702998884754,0.5934729700111525,0.47291430739777035,0.5270856926022296,0.5255746330177301,0.4744253669822699,0.4347359494114277,0.5652640505885723,0.7487708157192369,0.25122918428076313,0.2210315084392509,0.7789684915607491,0.002238296126720282,0.9977617038732797,0.00019818716774374625,0.9998018128322562,0.004057892999152911,0.9959421070008471,0.00016900268806770908,0.9998309973119323,0.003587191157800279,0.9964128088421997,0.00014976164522154594,0.9998502383547785,0.06422851873233096,0.9357714812676691,0.05359448636036823,0.9464055136396318,0.03882043200737426,0.9611795679926257,0.8966503551778847,0.25122918428076313
