,0
mu0,0.068971078458909
sN,8.751445870938538
qN,0.0157715073519212
qXG,0.0814909864046577
qXF,0.0709327065015376
betaG0,1.1863356150322233
sG,0.0974550987386739
betaF0,0.3145095249972587
sF,0.1782952055176543
qEG,1.112513547222978
qEF,1.2780096374399066
iG,0.0139707730113223
iE,0.0156601222376879
Kd0,0.0006560949140746
m0,0.0183385793928771
gammaG0,0.0703098676476582
gammaF0,0.0033944444477093
kPyrS,0.8
kPyrD,0.025
kAldPyr,1e-05
kAldS,0.35
kAldRed,1.0004890249165804e-05
kAcAld,0.0026774421261861
kAcStress,0.0026158743573774
kAcAssim,1e-06
qO2,0.0416960530672166
kLaO2,0.0015008512210468
O2sat,2.713015080772752
k_EA_growth,0.00010000000000018786
k_EA_stationary,0.04780912300118882
k_IAA_growth,0.05337268798242944
k_IAA_stationary,0.0401179211824282
k_EO_growth,0.0008958287998229469
k_EO_stationary,0.00015045338995616197
alpha_EA_loss,0.20000000000000007
alpha_IAA_loss,0.6612660974053175
alpha_EO_loss,1.4805156579503123
kPyrS_N,1.184348205938777
kPyrS_stat,0.0001
kPyrO2,0.1523677115443467
kPyrDrain,0.0022263614246287
kAldS_N,3.925416225865402
kAldS_stat,0.0001
kAldO2,1e-05
k_EA_X,0.03
k_EA_XE,0.05
k_EA_XE_Nlim,0.02
k_EA_AcAld,0.02
q10_EA,1.6
