,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
kPyrS_stat,-0.09772708668627716,-5.893396195714153,0.26414964341255087,0.22949478843607884,2.173480825389812,1.3969502089703212,-0.8164805170450669,-0.29227324184609027,0.2145003737556681,0.0,0.0,8.341288302364669,0.9132091054037875,13.91732272550507,-16.465295980655107,6.414063584005882,1.4835335265752962,5.962574745970432,12.82035671201957,-0.024319897720625438,-37.46612215644943,2.2959722024878935,-1.4145837978321064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-14.737918977944581,-73.07692730705521,10.514194644797568,5.313859940567092,26.185470733618367,18.481579238192374,-11.751324781431103,-5.595042908518064,6.060673885532596,0.0,0.0,122.39613063522498,13.91732272550507,216.42767245165018,-261.32487378156105,91.7670505852891,20.09573174641686,82.77184837618739,181.0944158364813,-0.3527343688282104,-534.501873624444,29.22959136340081,-0.00017962390397707647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,35.480584309253565,63.43147807889173,-22.129784360573368,-9.042181407740776,-20.83367354379063,-17.58570908362526,12.881061821157067,8.359140530924346,-11.280902648434722,0.0,0.0,-138.16486145892196,-16.465295980655107,-261.32487378156105,322.88901207903666,-100.43204850887196,-20.125039882019927,-87.21603388117322,-195.14834839640855,0.3922036196824077,582.6189403341663,-27.447329509897827,0.0001674623179734254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,172.33568273080152,-256.1605922433078,-47.327719472410806,-13.693049368902704,39.608950975468574,-16.3501928292275,3.305250092258892,41.61818001472868,-36.595433150186764,0.0,0.0,63.21583882953219,6.414063584005882,91.7670505852891,-100.43204850887196,302.5690590454815,97.49787918713633,312.81685322468957,628.0068667619958,-1.1067418924597605,-1774.2027585916062,149.7140838644635,-0.0009489892449408518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,136.05480932808183,-195.7028335525296,-54.732305822937505,-12.792660434656863,116.88736641850033,87.43032527632829,-29.829866680538217,-25.76146950830328,-18.93354333717572,0.0,0.0,21.401343362004397,1.4835335265752962,20.09573174641686,-20.125039882019927,97.49787918713633,108.1218003416121,160.87200807532818,248.5535126606236,-0.2776385834440409,-551.5826400130799,144.77242271712885,-0.00099047621452412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,239.75471021171157,-354.47082436670377,-90.40102956760617,-22.151004901871385,148.83612904435228,79.00484397935998,-26.943369901741907,-6.644237461525471,-43.69104739855954,0.0,0.0,67.15205346344362,5.962574745970432,82.77184837618739,-87.21603388117322,312.81685322468957,160.87200807532818,408.816652296151,716.2373742181395,-1.0203297030573246,-1859.0854554711118,271.14457461544356,-0.0017474469802906136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,397.35604358353993,-592.6660440740576,-122.578940650371,-32.061887027537686,157.54474010111176,30.190678921677865,-14.220172282204238,49.96235784951669,-78.66924700111767,0.0,0.0,132.65979090004026,12.82035671201957,181.0944158364813,-195.14834839640855,628.0068667619958,248.5535126606236,716.2373742181395,1359.7561566587387,-2.188746471185977,-3714.312875708705,401.37172263065924,-0.0025653787313551233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-0.5680082115040382,0.8379480517328859,0.13797190145964772,0.04640886872458265,-0.019757661517460914,0.16240029976884263,-0.04653766810601627,-0.2158947518672373,0.13074437015042467,0.0,0.0,-0.22846233931182117,-0.024319897720625438,-0.3527343688282104,0.3922036196824077,-1.1067418924597605,-0.2776385834440409,-1.0203297030573246,-2.188746471185977,0.004262498003282152,6.420085173339902,-0.3783594540362263,2.3702511830867354e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,722.4644103006542,-150.51164916374734,65.29038983475967,-2.006243227832779,-73.57153305657073,175.88071473278126,-19.766519637054472,-178.463456863874,-3.9496520400440573,0.0,0.0,-371.53385093856957,-37.46612215644943,-534.501873624444,582.6189403341663,-1774.2027585916062,-551.5826400130799,-1859.0854554711118,-3714.312875708705,6.420085173339902,13929.912579400385,818.3316578816537,-0.005784250516943061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,994.9402909934847,-1044.1190389507021,-197.25268094502917,-61.56076575238596,253.62272793967347,161.0264165158014,-38.57062622944679,-12.042500292464027,-143.2746823715304,0.0,0.0,33.64735053946746,2.2959722024878935,29.22959136340081,-27.447329509897827,149.7140838644635,144.77242271712885,271.14457461544356,401.37172263065924,-0.3783594540362263,818.3316578816537,1126.7595338925694,-0.007113884006448616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
