objective,campaign_order,candidate,family,medium,horizon_h,temperature_segments,score,rationale,campaign_logdet,campaign_min_eigenvalue,campaign_max_eigenvalue,campaign_min_relative_eigenvalue,campaign_condition_number,campaign_trace_inv,campaign_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS,var_reduction_kPyrS,var_ratio_kPyrD,var_reduction_kPyrD,var_ratio_kAldS,var_reduction_kAldS,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_qO2,var_reduction_qO2,var_ratio_kLaO2,var_reduction_kLaO2,var_ratio_O2sat,var_reduction_O2sat,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction,reduced_fixed
d_opt,2,synthetic_high_biomass_low_N_maintenance,maintenance,synthetic,216.0,"16, 18, 20, 18",190.96046368641464,High biomass with low N creates low-growth sugar consumption windows for m0.,190.96046368641464,0.6840866512702403,214599.22568256868,3.187740538645414e-06,313701.81728307664,2.004834712358776,28,0.8093017073083112,0.1906982926916888,0.8493151622480631,0.15068483775193686,0.4761705767608446,0.5238294232391554,0.26828418953732597,0.731715810462674,0.6425645729669737,0.35743542703302633,0.2982074374397028,0.7017925625602972,0.25609310518622064,0.7439068948137794,0.5050987308268912,0.49490126917310884,0.823095602060405,0.176904397939595,0.4454589854785285,0.5545410145214715,0.22679668784911625,0.7732033121508838,0.8224252930673127,0.1775747069326873,0.7551388559839838,0.24486114401601622,0.46568532416291375,0.5343146758370863,0.3623054887881665,0.6376945112118335,0.28386360481715467,0.7161363951828453,0.08916868336506437,0.9108313166349357,0.07961797608788103,0.920382023912119,0.09357285932564481,0.9064271406743551,0.007881186659434077,0.992118813340566,0.00043070316005729484,0.9995692968399427,0.014279972441539711,0.9857200275584603,0.0003841120538334601,0.9996158879461665,0.012727075257723671,0.9872729247422763,0.00035259374466729425,0.9996474062553327,0.1912704433056163,0.8087295566943837,0.1595721909634102,0.8404278090365898,0.12335884299338586,0.8766411570066142,0.7963508702248357,0.1775747069326873,"kAcAssim,kAldPyr,kAldRed"
d_opt,3,synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",197.63986817931132,High glucose plus fructose pulse separates glucose and fructose uptake/yield directions.,197.63986817931132,0.7730128985524032,247078.95586536155,3.1286067882431637e-06,319631.0906688084,1.652142381949165,28,0.7337466763124251,0.2662533236875749,0.7523476353313531,0.24765236466864693,0.30757371326896005,0.69242628673104,0.2125572858799058,0.7874427141200941,0.5259565917738002,0.47404340822619984,0.2566510105926172,0.7433489894073828,0.19874300273945728,0.8012569972605428,0.4335155296737644,0.5664844703262356,0.7070542606066018,0.2929457393933982,0.353731779671798,0.646268220328202,0.20071005671899175,0.7992899432810082,0.7546744484306336,0.24532555156936642,0.7153088650191751,0.2846911349808249,0.37178480255976887,0.6282151974402311,0.32237308331192965,0.6776269166880704,0.24473221857400645,0.7552677814259936,0.07419501463975721,0.9258049853602428,0.047699166753914175,0.9523008332460858,0.06791478206947593,0.9320852179305241,0.004882855247957894,0.9951171447520422,0.0003197500803836539,0.9996802499196163,0.008884240529082916,0.9911157594709171,0.00028602206726589986,0.9997139779327341,0.007917355052196092,0.992082644947804,0.00026205159439691544,0.999737948405603,0.12288418026825207,0.8771158197317479,0.10487203039206607,0.895127969607934,0.081085715988726,0.918914284011274,0.8276425539659418,0.24532555156936642,"kAcAssim,kAldPyr,kAldRed"
d_opt,4,synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,"18, 20, 20, 18",201.68913416957005,Synthetic high-sugar operating point close to the current synthetic dataset.,201.68913416957005,0.8090305219860472,296007.78653828136,2.7331393253110216e-06,365879.62814014376,1.531580929280519,28,0.6998713021638158,0.30012869783618423,0.7006100282089219,0.29938997179107807,0.2513173681560043,0.7486826318439956,0.20222004566586607,0.797779954334134,0.43854901423567355,0.5614509857643264,0.23588412282858215,0.7641158771714178,0.17810304229741453,0.8218969577025854,0.37900467890064365,0.6209953210993564,0.6367915341201543,0.3632084658798457,0.30823620694355675,0.6917637930564433,0.1917745096081204,0.8082254903918796,0.6916546372751319,0.3083453627248681,0.6766453337055296,0.3233546662944704,0.31331923015531044,0.6866807698446895,0.30262075328535487,0.6973792467146451,0.21548495865914608,0.7845150413408539,0.06896802155592102,0.931031978444079,0.03672951839992591,0.9632704816000741,0.059425992890637616,0.9405740071093623,0.003917292804880494,0.9960827071951195,0.0002726476713065102,0.9997273523286935,0.007188781141981161,0.9928112188580188,0.00024153530931311833,0.9997584646906869,0.006387141658728758,0.9936128583412712,0.00021871130904078175,0.9997812886909592,0.09940551269375093,0.900594487306249,0.08584041709393946,0.9141595829060606,0.06641803690354392,0.9335819630964561,0.8450153810286211,0.3083453627248681,"kAcAssim,kAldPyr,kAldRed"
d_opt,5,synthetic_viable_biomass_step,biomass_input,synthetic,216.0,"18, 22, 22, 18",204.84256595018837,Known viable biomass addition tests rate proportionality to X and supports yield separation.,204.84256595018837,0.8392015193271014,318601.98762576433,2.6340121905103827e-06,379648.9642693087,1.4466722773243559,28,0.6355973264293409,0.36440267357065914,0.6329434867173352,0.36705651328266475,0.23315466071232,0.76684533928768,0.18403677818618466,0.8159632218138153,0.3950073227884145,0.6049926772115855,0.21768115863350773,0.7823188413664923,0.17416252349335756,0.8258374765066424,0.3487391159313171,0.6512608840686829,0.5451879203114129,0.45481207968858706,0.2898829479677773,0.7101170520322226,0.18487854108832757,0.8151214589116724,0.6301841723207556,0.36981582767924437,0.6240276485907512,0.3759723514092488,0.2820999838874302,0.7179000161125698,0.294428904952666,0.705571095047334,0.17354834233740404,0.826451657662596,0.06147244791524916,0.9385275520847508,0.028283318810942572,0.9717166811890574,0.05070366917158567,0.9492963308284144,0.003336574488057571,0.9966634255119424,0.0002545476746406699,0.9997454523253594,0.006116287165833665,0.9938837128341663,0.0002220886251814359,0.9997779113748185,0.005421475792617427,0.9945785242073826,0.0001960364139902212,0.9998039635860098,0.09135699257304852,0.9086430074269515,0.07690604203231603,0.923093957967684,0.05674727498604615,0.9432527250139539,0.8596878936624401,0.36981582767924437,"kAcAssim,kAldPyr,kAldRed"
d_opt,6,natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,"18, 20, 22, 19",207.21757554394088,Natural must with glucose perturbation to test sugar-transfer validity.,207.21757554394088,0.8523760377537135,338809.87377912214,2.515794561257081e-06,397488.7359245759,1.40442468178885,28,0.6136712191100692,0.38632878088993083,0.6012898850074115,0.39871011499258846,0.2167253843816157,0.7832746156183843,0.17721134175800973,0.8227886582419903,0.3590657700268079,0.6409342299731922,0.20549323895475716,0.7945067610452429,0.16991504360563503,0.830084956394365,0.3222564481833447,0.6777435518166552,0.5072102188586253,0.4927897811413747,0.27291136603306027,0.7270886339669398,0.18202102108946933,0.8179789789105307,0.5728176931264923,0.42718230687350767,0.584469428253572,0.41553057174642805,0.2356982540572675,0.7643017459427325,0.25935017260709653,0.7406498273929034,0.16084202932360409,0.8391579706763959,0.05969495028707859,0.9403050497129214,0.026693280750670536,0.9733067192493294,0.0472163182144621,0.9527836817855379,0.0029129719357239175,0.9970870280642761,0.00023576667535183605,0.9997642333246481,0.005353974942346722,0.9946460250576533,0.00020350561962837355,0.9997964943803717,0.004737156156387747,0.9952628438436123,0.00017771286338868317,0.9998222871366114,0.08238661660776997,0.91761338339223,0.06825713541973043,0.9317428645802696,0.04925455288359013,0.9507454471164098,0.8729234400162257,0.41553057174642805,"kAcAssim,kAldPyr,kAldRed"
d_opt,7,synthetic_pyruvate_peak_lowN_warm_shift,secondary_pyruvate,synthetic,216.0,"16, 18, 24, 20",209.37027650871096,Low initial YAN plus warm shift targets pyruvate peak and acetaldehyde drainage without adding new states.,209.37027650871096,0.889559840110157,364362.0769082835,2.441417195934129e-06,409598.16358522145,1.3249572953217603,28,0.5664803333627766,0.4335196666372234,0.5826995509819488,0.4173004490180512,0.18504939496839548,0.8149506050316045,0.16573431230928157,0.8342656876907184,0.28975329165986574,0.7102467083401343,0.18686103477602348,0.8131389652239766,0.1600405031054403,0.8399594968945597,0.28023893115759807,0.7197610688424019,0.5021768290942624,0.4978231709057376,0.23714410362763122,0.7628558963723688,0.17441227864712322,0.8255877213528768,0.5270145739669236,0.47298542603307636,0.5629231303339652,0.43707686966603476,0.22007917383832262,0.7799208261616773,0.2565405648984736,0.7434594351015265,0.15831689169621782,0.8416831083037821,0.054443585616051594,0.9455564143839484,0.0216977722805263,0.9783022277194737,0.04120646587110101,0.958793534128899,0.0027628224561979968,0.997237177543802,0.00019257214145505284,0.9998074278585449,0.0050715040214350665,0.9949284959785649,0.00016558586420796788,0.999834414135792,0.004498005401461118,0.9955019945985388,0.00014476825616254303,0.9998552317438375,0.0711960139159417,0.9288039860840583,0.05868363032785363,0.9413163696721464,0.04260348956336353,0.9573965104366364,0.8807329087970788,0.43707686966603476,"kAcAssim,kAldPyr,kAldRed"
d_opt,8,natural_cold_hot_switch,natural_temperature,natural,216.0,"15, 18, 23, 20",211.18858431709148,Natural matrix with temperature excitation and a modest YAN pulse.,211.18858431709148,0.9147404412347555,381418.4628163114,2.398259471973407e-06,416969.0609736862,1.2832167720280072,28,0.5149735092600299,0.48502649073997006,0.5178758854102324,0.48212411458976756,0.17737293913251265,0.8226270608674874,0.15819339156830345,0.8418066084316965,0.27463292270062895,0.725367077299371,0.18071222474142673,0.8192877752585732,0.15838079800806573,0.8416192019919343,0.2688015586816949,0.731198441318305,0.4933369527707611,0.5066630472292388,0.229135144734428,0.770864855265572,0.16961077479396158,0.8303892252060384,0.49322196878991936,0.5067780312100807,0.5349554015375185,0.4650445984624815,0.20124521437670415,0.7987547856232958,0.24092308955346978,0.7590769104465303,0.14886261852596408,0.851137381474036,0.05356686174664876,0.9464331382533513,0.020698258633184086,0.9793017413668159,0.038969669424562835,0.9610303305754372,0.002270993550568613,0.9977290064494314,0.0001871176770729406,0.9998128823229271,0.004173671754312863,0.9958263282456872,0.00016037621993667588,0.9998396237800633,0.0036915651548787205,0.9963084348451213,0.00013922214500963298,0.9998607778549904,0.06913089462446573,0.9308691053755342,0.056880524809945696,0.9431194751900543,0.04090552442213553,0.9590944755778644,0.8876480604149236,0.4650445984624815,"kAcAssim,kAldPyr,kAldRed"
d_opt,9,synthetic_low_yan_ladder,nitrogen_saturation,synthetic,216.0,"15, 18, 22, 22",212.9068493661669,Low-YAN ladder targets sN and qN separation.,212.9068493661669,0.9303107465194029,405240.7500933255,2.2956989056632523e-06,435597.19331359316,1.2442293215376712,28,0.5009203382555703,0.49907966174442975,0.5080355565571085,0.4919644434428915,0.16397530051976575,0.8360246994802343,0.15206412206384823,0.8479358779361518,0.24561604011587576,0.7543839598841242,0.17048845065676216,0.8295115493432379,0.1535066640512145,0.8464933359487855,0.24838148490695086,0.7516185150930491,0.48619048145893534,0.5138095185410647,0.214882587100664,0.785117412899336,0.16677169454074145,0.8332283054592585,0.46803244528824695,0.531967554711753,0.5211120777937546,0.47888792220624543,0.18963013710711113,0.8103698628928888,0.23918301798813965,0.7608169820118603,0.14489266172903048,0.8551073382709695,0.05056349286919223,0.9494365071308077,0.017729073532809583,0.9822709264671904,0.035448089991027644,0.9645519100089723,0.002207240718495941,0.997792759281504,0.00016308022521363126,0.9998369197747864,0.004063974547088902,0.995936025452911,0.0001396190021479838,0.999860380997852,0.003600015026967124,0.9963999849730328,0.00012137893264071535,0.9998786210673593,0.06091674032173882,0.9390832596782612,0.049329553628897356,0.9506704463711027,0.035172185273852435,0.9648278147261475,0.8928056009425673,0.47888792220624543,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,1,synthetic_fructose_rich_glucose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",177.81367836183503,Fructose-rich run probes iG and fructose kinetic directions.,177.81367836183503,0.651088499553429,198977.23602951271,3.2721758154126645e-06,305607.0506021654,2.6914324897686464,28,0.8997893049170352,0.10021069508296476,0.8789394871563322,0.12106051284366781,0.5392198530556804,0.46078014694431957,0.29213183540105464,0.7078681645989453,0.715550084507771,0.284449915492229,0.3298007325240736,0.6701992674759264,0.2711648166801892,0.7288351833198108,0.638323312892404,0.36167668710759604,0.8620199002411031,0.1379800997588969,0.48607396070365505,0.513926039296345,0.23829538353992283,0.7617046164600771,0.9002217143931831,0.0997782856068169,0.8908596311547794,0.1091403688452206,0.6355747086026138,0.3644252913973862,0.530227731379533,0.46977226862046695,0.6282086505168339,0.37179134948316606,0.45635006520707216,0.5436499347929278,0.10761786786264982,0.8923821321373502,0.24125547578832043,0.7587445242116796,0.017553119335658597,0.9824468806643414,0.0017031079577085658,0.9982968920422914,0.031272727433335236,0.9687272725666648,0.0014533796222796981,0.9985466203777204,0.02751087625668998,0.97248912374331,0.001361712790180829,0.9986382872098192,0.4097309000705125,0.5902690999294875,0.3538692550960428,0.6461307449039573,0.27523060229625546,0.7247693977037446,0.6758822631903735,0.0997782856068169,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,2,synthetic_high_biomass_low_N_maintenance,maintenance,synthetic,216.0,"16, 18, 20, 18",190.96046368641464,High biomass with low N creates low-growth sugar consumption windows for m0.,190.96046368641464,0.6840866512702403,214599.22568256868,3.187740538645414e-06,313701.81728307664,2.004834712358776,28,0.8093017073083112,0.1906982926916888,0.8493151622480631,0.15068483775193686,0.4761705767608446,0.5238294232391554,0.26828418953732597,0.731715810462674,0.6425645729669737,0.35743542703302633,0.2982074374397028,0.7017925625602972,0.25609310518622064,0.7439068948137794,0.5050987308268912,0.49490126917310884,0.823095602060405,0.176904397939595,0.4454589854785285,0.5545410145214715,0.22679668784911625,0.7732033121508838,0.8224252930673127,0.1775747069326873,0.7551388559839838,0.24486114401601622,0.46568532416291375,0.5343146758370863,0.3623054887881665,0.6376945112118335,0.28386360481715467,0.7161363951828453,0.08916868336506437,0.9108313166349357,0.07961797608788103,0.920382023912119,0.09357285932564481,0.9064271406743551,0.007881186659434077,0.992118813340566,0.00043070316005729484,0.9995692968399427,0.014279972441539711,0.9857200275584603,0.0003841120538334601,0.9996158879461665,0.012727075257723671,0.9872729247422763,0.00035259374466729425,0.9996474062553327,0.1912704433056163,0.8087295566943837,0.1595721909634102,0.8404278090365898,0.12335884299338586,0.8766411570066142,0.7963508702248357,0.1775747069326873,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,3,synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",197.63986817931132,High glucose plus fructose pulse separates glucose and fructose uptake/yield directions.,197.63986817931132,0.7730128985524032,247078.95586536155,3.1286067882431637e-06,319631.0906688084,1.652142381949165,28,0.7337466763124251,0.2662533236875749,0.7523476353313531,0.24765236466864693,0.30757371326896005,0.69242628673104,0.2125572858799058,0.7874427141200941,0.5259565917738002,0.47404340822619984,0.2566510105926172,0.7433489894073828,0.19874300273945728,0.8012569972605428,0.4335155296737644,0.5664844703262356,0.7070542606066018,0.2929457393933982,0.353731779671798,0.646268220328202,0.20071005671899175,0.7992899432810082,0.7546744484306336,0.24532555156936642,0.7153088650191751,0.2846911349808249,0.37178480255976887,0.6282151974402311,0.32237308331192965,0.6776269166880704,0.24473221857400645,0.7552677814259936,0.07419501463975721,0.9258049853602428,0.047699166753914175,0.9523008332460858,0.06791478206947593,0.9320852179305241,0.004882855247957894,0.9951171447520422,0.0003197500803836539,0.9996802499196163,0.008884240529082916,0.9911157594709171,0.00028602206726589986,0.9997139779327341,0.007917355052196092,0.992082644947804,0.00026205159439691544,0.999737948405603,0.12288418026825207,0.8771158197317479,0.10487203039206607,0.895127969607934,0.081085715988726,0.918914284011274,0.8276425539659418,0.24532555156936642,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,4,synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,"18, 20, 20, 18",201.68913416957005,Synthetic high-sugar operating point close to the current synthetic dataset.,201.68913416957005,0.8090305219860472,296007.78653828136,2.7331393253110216e-06,365879.62814014376,1.531580929280519,28,0.6998713021638158,0.30012869783618423,0.7006100282089219,0.29938997179107807,0.2513173681560043,0.7486826318439956,0.20222004566586607,0.797779954334134,0.43854901423567355,0.5614509857643264,0.23588412282858215,0.7641158771714178,0.17810304229741453,0.8218969577025854,0.37900467890064365,0.6209953210993564,0.6367915341201543,0.3632084658798457,0.30823620694355675,0.6917637930564433,0.1917745096081204,0.8082254903918796,0.6916546372751319,0.3083453627248681,0.6766453337055296,0.3233546662944704,0.31331923015531044,0.6866807698446895,0.30262075328535487,0.6973792467146451,0.21548495865914608,0.7845150413408539,0.06896802155592102,0.931031978444079,0.03672951839992591,0.9632704816000741,0.059425992890637616,0.9405740071093623,0.003917292804880494,0.9960827071951195,0.0002726476713065102,0.9997273523286935,0.007188781141981161,0.9928112188580188,0.00024153530931311833,0.9997584646906869,0.006387141658728758,0.9936128583412712,0.00021871130904078175,0.9997812886909592,0.09940551269375093,0.900594487306249,0.08584041709393946,0.9141595829060606,0.06641803690354392,0.9335819630964561,0.8450153810286211,0.3083453627248681,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,5,synthetic_viable_biomass_step,biomass_input,synthetic,216.0,"18, 22, 22, 18",204.84256595018837,Known viable biomass addition tests rate proportionality to X and supports yield separation.,204.84256595018837,0.8392015193271014,318601.98762576433,2.6340121905103827e-06,379648.9642693087,1.4466722773243559,28,0.6355973264293409,0.36440267357065914,0.6329434867173352,0.36705651328266475,0.23315466071232,0.76684533928768,0.18403677818618466,0.8159632218138153,0.3950073227884145,0.6049926772115855,0.21768115863350773,0.7823188413664923,0.17416252349335756,0.8258374765066424,0.3487391159313171,0.6512608840686829,0.5451879203114129,0.45481207968858706,0.2898829479677773,0.7101170520322226,0.18487854108832757,0.8151214589116724,0.6301841723207556,0.36981582767924437,0.6240276485907512,0.3759723514092488,0.2820999838874302,0.7179000161125698,0.294428904952666,0.705571095047334,0.17354834233740404,0.826451657662596,0.06147244791524916,0.9385275520847508,0.028283318810942572,0.9717166811890574,0.05070366917158567,0.9492963308284144,0.003336574488057571,0.9966634255119424,0.0002545476746406699,0.9997454523253594,0.006116287165833665,0.9938837128341663,0.0002220886251814359,0.9997779113748185,0.005421475792617427,0.9945785242073826,0.0001960364139902212,0.9998039635860098,0.09135699257304852,0.9086430074269515,0.07690604203231603,0.923093957967684,0.05674727498604615,0.9432527250139539,0.8596878936624401,0.36981582767924437,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,6,natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,"18, 20, 22, 19",207.21757554394088,Natural must with glucose perturbation to test sugar-transfer validity.,207.21757554394088,0.8523760377537135,338809.87377912214,2.515794561257081e-06,397488.7359245759,1.40442468178885,28,0.6136712191100692,0.38632878088993083,0.6012898850074115,0.39871011499258846,0.2167253843816157,0.7832746156183843,0.17721134175800973,0.8227886582419903,0.3590657700268079,0.6409342299731922,0.20549323895475716,0.7945067610452429,0.16991504360563503,0.830084956394365,0.3222564481833447,0.6777435518166552,0.5072102188586253,0.4927897811413747,0.27291136603306027,0.7270886339669398,0.18202102108946933,0.8179789789105307,0.5728176931264923,0.42718230687350767,0.584469428253572,0.41553057174642805,0.2356982540572675,0.7643017459427325,0.25935017260709653,0.7406498273929034,0.16084202932360409,0.8391579706763959,0.05969495028707859,0.9403050497129214,0.026693280750670536,0.9733067192493294,0.0472163182144621,0.9527836817855379,0.0029129719357239175,0.9970870280642761,0.00023576667535183605,0.9997642333246481,0.005353974942346722,0.9946460250576533,0.00020350561962837355,0.9997964943803717,0.004737156156387747,0.9952628438436123,0.00017771286338868317,0.9998222871366114,0.08238661660776997,0.91761338339223,0.06825713541973043,0.9317428645802696,0.04925455288359013,0.9507454471164098,0.8729234400162257,0.41553057174642805,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,7,synthetic_pyruvate_peak_lowN_warm_shift,secondary_pyruvate,synthetic,216.0,"16, 18, 24, 20",209.37027650871096,Low initial YAN plus warm shift targets pyruvate peak and acetaldehyde drainage without adding new states.,209.37027650871096,0.889559840110157,364362.0769082835,2.441417195934129e-06,409598.16358522145,1.3249572953217603,28,0.5664803333627766,0.4335196666372234,0.5826995509819488,0.4173004490180512,0.18504939496839548,0.8149506050316045,0.16573431230928157,0.8342656876907184,0.28975329165986574,0.7102467083401343,0.18686103477602348,0.8131389652239766,0.1600405031054403,0.8399594968945597,0.28023893115759807,0.7197610688424019,0.5021768290942624,0.4978231709057376,0.23714410362763122,0.7628558963723688,0.17441227864712322,0.8255877213528768,0.5270145739669236,0.47298542603307636,0.5629231303339652,0.43707686966603476,0.22007917383832262,0.7799208261616773,0.2565405648984736,0.7434594351015265,0.15831689169621782,0.8416831083037821,0.054443585616051594,0.9455564143839484,0.0216977722805263,0.9783022277194737,0.04120646587110101,0.958793534128899,0.0027628224561979968,0.997237177543802,0.00019257214145505284,0.9998074278585449,0.0050715040214350665,0.9949284959785649,0.00016558586420796788,0.999834414135792,0.004498005401461118,0.9955019945985388,0.00014476825616254303,0.9998552317438375,0.0711960139159417,0.9288039860840583,0.05868363032785363,0.9413163696721464,0.04260348956336353,0.9573965104366364,0.8807329087970788,0.43707686966603476,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,8,natural_cold_hot_switch,natural_temperature,natural,216.0,"15, 18, 23, 20",211.18858431709148,Natural matrix with temperature excitation and a modest YAN pulse.,211.18858431709148,0.9147404412347555,381418.4628163114,2.398259471973407e-06,416969.0609736862,1.2832167720280072,28,0.5149735092600299,0.48502649073997006,0.5178758854102324,0.48212411458976756,0.17737293913251265,0.8226270608674874,0.15819339156830345,0.8418066084316965,0.27463292270062895,0.725367077299371,0.18071222474142673,0.8192877752585732,0.15838079800806573,0.8416192019919343,0.2688015586816949,0.731198441318305,0.4933369527707611,0.5066630472292388,0.229135144734428,0.770864855265572,0.16961077479396158,0.8303892252060384,0.49322196878991936,0.5067780312100807,0.5349554015375185,0.4650445984624815,0.20124521437670415,0.7987547856232958,0.24092308955346978,0.7590769104465303,0.14886261852596408,0.851137381474036,0.05356686174664876,0.9464331382533513,0.020698258633184086,0.9793017413668159,0.038969669424562835,0.9610303305754372,0.002270993550568613,0.9977290064494314,0.0001871176770729406,0.9998128823229271,0.004173671754312863,0.9958263282456872,0.00016037621993667588,0.9998396237800633,0.0036915651548787205,0.9963084348451213,0.00013922214500963298,0.9998607778549904,0.06913089462446573,0.9308691053755342,0.056880524809945696,0.9431194751900543,0.04090552442213553,0.9590944755778644,0.8876480604149236,0.4650445984624815,"kAcAssim,kAldPyr,kAldRed"
dopt_exchange_from_reduced_hybrid,9,synthetic_low_yan_ladder,nitrogen_saturation,synthetic,216.0,"15, 18, 22, 22",212.9068493661669,Low-YAN ladder targets sN and qN separation.,212.9068493661669,0.9303107465194029,405240.7500933255,2.2956989056632523e-06,435597.19331359316,1.2442293215376712,28,0.5009203382555703,0.49907966174442975,0.5080355565571085,0.4919644434428915,0.16397530051976575,0.8360246994802343,0.15206412206384823,0.8479358779361518,0.24561604011587576,0.7543839598841242,0.17048845065676216,0.8295115493432379,0.1535066640512145,0.8464933359487855,0.24838148490695086,0.7516185150930491,0.48619048145893534,0.5138095185410647,0.214882587100664,0.785117412899336,0.16677169454074145,0.8332283054592585,0.46803244528824695,0.531967554711753,0.5211120777937546,0.47888792220624543,0.18963013710711113,0.8103698628928888,0.23918301798813965,0.7608169820118603,0.14489266172903048,0.8551073382709695,0.05056349286919223,0.9494365071308077,0.017729073532809583,0.9822709264671904,0.035448089991027644,0.9645519100089723,0.002207240718495941,0.997792759281504,0.00016308022521363126,0.9998369197747864,0.004063974547088902,0.995936025452911,0.0001396190021479838,0.999860380997852,0.003600015026967124,0.9963999849730328,0.00012137893264071535,0.9998786210673593,0.06091674032173882,0.9390832596782612,0.049329553628897356,0.9506704463711027,0.035172185273852435,0.9648278147261475,0.8928056009425673,0.47888792220624543,"kAcAssim,kAldPyr,kAldRed"
