case,medium,batch,n_time,t_min_h,t_max_h,X0,Xd0,N0,G0,F0,E0,Gly0,n_core_obs,n_secondary_obs,pulses
historical_only,synthetic,MS013,9,0.0,213.0,0.4597499999999999,0.0,0.218,125.07,116.20000000000002,0.0,0.27,51,0,N:72@0.1
historical_only,synthetic,MS014,9,0.0,213.0,0.4849499999999999,0.0,0.226,127.15,126.5,0.0,0.21,51,0,N:72@0.1
historical_only,synthetic,MS015,9,0.0,213.0,0.3813,0.0686999999999999,0.22,121.91,118.49,0.0,0.22,51,0,N:72@0.1
historical_only,synthetic,MS016,9,0.0,208.0,0.4907999999999999,0.0,0.214,125.22,116.88,0.0,0.08,51,0,N:72@0.1
lot1_added,synthetic,lot1_F1,19,0.0,211.5,0.10494693,0.02075307,0.312,105.52,131.68,0.3945,0.62,125,57,
lot1_added,synthetic,lot1_F2,22,0.0,383.8,1.0946511,0.0483488999999999,0.037,62.17,81.77,10.3359,0.75,141,63,N:72.5@0.015; G:48.5@25; F:96.5@25
lot1_added,synthetic,lot1_F3,19,0.0,211.5,0.13253346,0.02766654,0.189,30.13,132.29,2.9193,0.63,121,52,N:24.5@0.015; G:72.5@35
historical_plus_lot1,natural,LAB004,14,0.0,163.0,0.3939,0.0092999999999999,0.23076,75.04,70.80999999999999,9.707652,0.99,81,0,N:68@0.08
historical_plus_lot1,natural,LAB005,14,0.0,163.0,0.4932,0.0158999999999999,0.2272999999999999,77.71,87.95,9.786576,1.09,81,0,N:68@0.08
historical_plus_lot1,natural,LAB006,16,0.0,211.0,0.0989999999999999,0.0275999999999999,0.22912,81.63,75.81,9.8655,1.17,93,0,N:99@0.08
historical_plus_lot1,natural,LAB007,14,0.0,160.0,0.2916,0.0008999999999999,0.23904,77.52,74.55,11.759676,0.89,84,0,N:65@0.08
historical_plus_lot1,natural,LAB008,14,0.0,160.0,0.2534999999999999,0.0033,0.23922,76.21,74.89,9.234108,0.85,84,0,N:65@0.08
historical_plus_lot1,natural,LAB009,13,0.0,160.0,0.3602999999999999,0.0008999999999999,0.2374,75.75,76.68,9.707652,0.75,77,0,N:41@0.08
historical_plus_lot1,natural,LAB010,10,0.0,186.9999999999418,0.9609,0.1127999999999999,0.2256999999999999,78.49,77.05,9.313032,1.25,38,0,N:79@0.08
historical_plus_lot1,natural,LAB011,8,0.0,162.9999999999418,1.0656,0.0380999999999998,0.22024,75.61,76.67,9.313032,1.25,34,0,N:72@0.08
historical_plus_lot1,natural,LAB012,9,0.0,162.9999999999418,0.8513999999999999,0.1208999999999999,0.22206,75.0,79.88,9.391956,1.27,36,0,N:72@0.08
historical_plus_lot1,synthetic,MS007,10,0.0,213.0,0.3329999999999999,0.117,0.224,125.34,120.52,0.0,0.34,57,0,N:24@0.1
historical_plus_lot1,synthetic,MS008,10,0.0,213.0,0.32835,0.1216499999999999,0.218,124.28,119.63,0.0,0.38,56,0,N:96@0.1
historical_plus_lot1,synthetic,MS009,10,0.0,213.0,0.3374999999999999,0.1124999999999999,0.236,120.89,114.19,0.0,0.38,57,0,N:24@0.1
historical_plus_lot1,synthetic,MS010,10,0.0,213.5,0.5609999999999999,0.0,0.221,124.65,113.21,0.0,0.43,56,0,N:24@0.1
historical_plus_lot1,synthetic,MS011,10,0.0,213.5,0.3697499999999999,0.23025,0.218,123.57,119.77,0.0,0.8,56,0,N:96@0.1
historical_plus_lot1,synthetic,MS012,10,0.0,213.5,0.4757999999999999,0.0,0.223,122.56,114.23,0.0,0.66,56,0,N:96@0.1
historical_plus_lot1,synthetic,MS013,9,0.0,213.0,0.4597499999999999,0.0,0.218,125.07,116.20000000000002,0.0,0.27,51,0,N:72@0.1
historical_plus_lot1,synthetic,MS014,9,0.0,213.0,0.4849499999999999,0.0,0.226,127.15,126.5,0.0,0.21,51,0,N:72@0.1
historical_plus_lot1,synthetic,MS015,9,0.0,213.0,0.3813,0.0686999999999999,0.22,121.91,118.49,0.0,0.22,51,0,N:72@0.1
historical_plus_lot1,synthetic,MS016,9,0.0,208.0,0.4907999999999999,0.0,0.214,125.22,116.88,0.0,0.08,51,0,N:72@0.1
historical_plus_lot1,synthetic,lot1_F1,19,0.0,211.5,0.10494693,0.02075307,0.312,105.52,131.68,0.3945,0.62,125,57,
historical_plus_lot1,synthetic,lot1_F2,22,0.0,383.8,1.0946511,0.0483488999999999,0.037,62.17,81.77,10.3359,0.75,141,63,N:72.5@0.015; G:48.5@25; F:96.5@25
historical_plus_lot1,synthetic,lot1_F3,19,0.0,211.5,0.13253346,0.02766654,0.189,30.13,132.29,2.9193,0.63,121,52,N:24.5@0.015; G:72.5@35
