strategy,dose_design,candidate_id,policy,thermal_archetype,nutrition_archetype,first_24h_mean_setpoint_c,action,time_h,end_h,value,unit,controller_phase,explicit_hold_last_setpoint,sample_before_action_if_coincident,initial_temperature_scenario_c,initial_setpoint_jump_c,initial_jump_within_5c,watermark,candidate_only_not_for_physical_execution
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,168.0,180.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,180.0,192.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,192.0,204.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,204.0,216.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,216.0,228.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,228.0,240.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,240.0,252.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,252.0,264.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,264.0,276.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,276.0,288.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,288.0,300.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,300.0,312.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,312.0,324.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,324.0,336.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,336.0,348.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,348.0,360.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,360.0,372.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,372.0,384.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,384.0,396.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,396.0,408.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,408.0,420.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,420.0,432.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,432.0,444.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,444.0,456.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,456.0,468.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,468.0,480.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,480.0,492.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,492.0,504.0,18.0,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,nutrition,46.0,,80.0,mgYAN/L,manual_action,False,True,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,initial_transition_audit,0.0,,18.0,degC,initial_transition,False,False,17.0,1.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,initial_transition_audit,0.0,,18.0,degC,initial_transition,False,False,18.0,0.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,initial_transition_audit,0.0,,18.0,degC,initial_transition,False,False,19.0,1.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,0.0,12.0,26.31385069209483,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,12.0,24.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,24.0,36.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,36.0,48.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,48.0,60.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,60.0,72.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,72.0,84.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,84.0,96.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,96.0,108.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,108.0,120.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,120.0,132.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,132.0,144.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,144.0,156.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,156.0,168.0,21.529638951051343,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,168.0,180.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,180.0,192.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,192.0,204.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,204.0,216.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,216.0,228.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,228.0,240.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,240.0,252.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,252.0,264.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,264.0,276.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,276.0,288.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,288.0,300.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,300.0,312.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,312.0,324.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,324.0,336.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,336.0,348.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,348.0,360.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,360.0,372.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,372.0,384.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,384.0,396.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,396.0,408.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,408.0,420.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,420.0,432.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,432.0,444.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,444.0,456.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,456.0,468.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,468.0,480.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,480.0,492.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,temperature_setpoint,492.0,504.0,21.529638951051343,degC,explicit_hold_last,True,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,nutrition,2.0,,80.0,mgYAN/L,manual_action,False,True,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,initial_transition_audit,0.0,,26.31385069209483,degC,initial_transition,False,False,17.0,9.313850692094832,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,initial_transition_audit,0.0,,26.31385069209483,degC,initial_transition,False,False,18.0,8.313850692094832,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_A,unclassified,early,23.921744821573085,initial_transition_audit,0.0,,26.31385069209483,degC,initial_transition,False,False,19.0,7.313850692094832,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,0.0,12.0,26.33085986142825,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,12.0,24.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,24.0,36.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,36.0,48.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,48.0,60.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,60.0,72.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,72.0,84.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,84.0,96.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,96.0,108.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,108.0,120.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,candidate_B,unclassified,early,23.90790191984851,temperature_setpoint,120.0,132.0,21.484943978268767,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
