,0
mu0,0.06897107845890904
sN,8.751445870938538
qN,0.01577150735192124
qXG,0.0814909864046577
qXF,0.0709327065015376
betaG0,1.1863356150322233
sG,0.0974550987386739
betaF0,0.31450952499725876
sF,0.1782952055176543
qEG,1.112513547222978
qEF,1.2780096374399066
iG,0.013970773011322308
iE,0.015660122237687996
Kd0,0.0006560949140746466
m0,0.0183385793928771
gammaG0,0.07030986764765826
gammaF0,0.003394444447709372
kPyrS,0.8
kPyrD,0.025
kAldPyr,1e-05
kAldS,0.35
kAldRed,1.0004890249165804e-05
kAcAld,0.002677442126186149
kAcStress,0.0026158743573774
kAcAssim,1e-06
qO2,0.0416960530672166
kLaO2,0.0015008512210468
O2sat,2.713015080772752
k_EA_growth,0.0007768413259281879
k_EA_stationary,0.004619630982404328
k_IAA_growth,0.04930143639942836
k_IAA_stationary,0.04108355709392398
k_EO_growth,0.0008396980334814607
k_EO_stationary,0.0001665479716921876
alpha_EA_loss,0.20000000000036838
alpha_IAA_loss,0.7650444234092705
alpha_EO_loss,2.2053180049964456
kPyrS_N,1.1843482059387773
kPyrS_stat,0.0001
kPyrO2,0.15236771154434678
kPyrDrain,0.0022263614246287866
kAldS_N,3.925416225865402
kAldS_stat,0.0001
kAldO2,1e-05
