policy,candidate,family,medium,horizon_h,n_liquid_samples,hybrid_score,dopt_score,new_logdet,new_min_eigenvalue,new_max_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace_inv,new_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction
front_loaded,natural_control_18C,natural_baseline,natural,216.0,20,130.91717219892942,158.5419791548148,75.04583248620101,-8.424711649069904e-15,12850.323484715784,-6.556030794937017e-19,1000000000000.0,852680.2477807414,25,158.5419791548148,0.17040881513243933,161652.13083313388,1.0541699280682206e-06,948613.6659509082,7.285333132499033,26,0.8873698739101049,0.11263012608989509,0.8509261165770406,0.14907388342295935,0.8334711537164474,0.16652884628355258,0.8159848767199179,0.18401512328008207,0.7087122158084269,0.2912877841915731,0.8154687359521106,0.18453126404788944,0.954906604530609,0.04509339546939095,0.7510545118989577,0.24894548810104233,0.9690192440015247,0.030980755998475273,0.8677607155600584,0.1322392844399416,0.9104322740624484,0.08956772593755158,0.8482670856222133,0.1517329143777867,0.9097321397484611,0.09026786025153888,0.925829155193864,0.074170844806136,0.8332040838163182,0.16679591618368184,0.927417889411843,0.072582110588157,0.8211498273792518,0.1788501726207482,0.043310085702230515,0.9566899142977695,0.0027388379076393656,0.9972611620923606,0.07569945408411116,0.9243005459158888,0.0025298700783632755,0.9974701299216368,0.06804996461341666,0.9319500353865834,0.0026911558670276686,0.9973088441329724,0.7372187730043608,0.2627812269956392,0.657188926902684,0.34281107309731595,0.5222726368599178,0.47772736314008224,0.6490665980171958,0.072582110588157
front_loaded,natural_cold_hot_switch,natural_temperature,natural,216.0,20,131.52341038543037,159.13300623827155,77.13689695871349,1.3814537045245405e-14,12758.191098634321,1.0827974701463876e-18,1000000000000.0,866177.3810790756,25,159.13300623827155,0.1710091353639125,161053.7221526819,1.0618142386165571e-06,941784.31935788,7.175370348134606,26,0.8158103611744791,0.18418963882552086,0.7751490752514608,0.22485092474853918,0.8428345646816154,0.15716543531838456,0.8391600722152509,0.1608399277847491,0.7795434452240514,0.2204565547759486,0.8774406671939531,0.12255933280604692,0.9626656995772584,0.03733430042274155,0.8254243909817623,0.17457560901823765,0.9698081267718944,0.03019187322810557,0.8848462922670055,0.11515370773299449,0.9072402166539643,0.09275978334603574,0.7704978659861971,0.22950213401380293,0.8418807285903931,0.1581192714096069,0.8675001512002855,0.13249984879971455,0.7676649507490693,0.23233504925093074,0.8970252566811037,0.10297474331889633,0.8059117534701861,0.19408824652981393,0.02810201344018724,0.9718979865598127,0.003219467735857025,0.996780532264143,0.04945274881642496,0.9505472511835751,0.002979175085718998,0.997020824914281,0.04421801394599115,0.9557819860540089,0.0031914742400894077,0.9968085257599106,0.7450357075302055,0.25496429246979446,0.6667413626292172,0.33325863737078276,0.5242891326627742,0.4757108673372258,0.6572576267056586,0.10297474331889633
front_loaded,natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,20,134.2685451762552,162.03563843084422,93.73261912683147,8.342618723704676e-05,13417.677276695686,6.217632569084399e-09,160832919.74701855,11815.219557136421,25,162.03563843084422,0.15994388826702824,162963.18544755742,9.814725198686005e-07,1018877.2275905187,7.195042326293148,26,0.8680605120057197,0.13193948799428035,0.8278429057348067,0.17215709426519332,0.8273865165979518,0.17261348340204818,0.8940518392493911,0.10594816075060887,0.7171462555272302,0.2828537444727698,0.8566705793524514,0.1433294206475486,0.9731714759860193,0.026828524013980726,0.770313697402816,0.22968630259718403,0.9267174492832794,0.07328255071672063,0.8886254734757469,0.11137452652425306,0.9700007273232057,0.029999272676794253,0.8073843405364945,0.19261565946350545,0.8742004637196887,0.12579953628031126,0.8956596707535391,0.10434032924646086,0.8072000846694027,0.19279991533059726,0.9155502122417346,0.0844497877582654,0.7893671258784302,0.21063287412156984,0.03171144198641467,0.9682885580135854,0.0023490544160228713,0.9976509455839772,0.05601653223723559,0.9439834677627644,0.002063765881006232,0.9979362341189938,0.049927906636818856,0.9500720933631811,0.002003475482902171,0.9979965245170979,0.4933053533449859,0.5066946466550142,0.4138697382804583,0.5861302617195416,0.30798774530400036,0.6920122546959997,0.7214406953009083,0.0844497877582654
front_loaded,synthetic_natural_like_control,synthetic_baseline,synthetic,216.0,20,130.90502037558952,158.53109553364735,82.01651489343939,-8.244006369666117e-14,13006.917564922114,-6.338170691493487e-18,1000000000000.0,836387.1246340739,25,158.53109553364735,0.17045092895885258,161792.9258594294,1.0535128656177804e-06,949205.3041170973,7.288425198700636,26,0.8827215254857894,0.11727847451421058,0.8499904247433288,0.15000957525667125,0.8326370211393298,0.1673629788606702,0.8142921826628978,0.18570781733710218,0.7102218631332348,0.28977813686676523,0.8138404255162633,0.18615957448373666,0.9521125437469299,0.047887456253070115,0.7535135435888575,0.24648645641114253,0.968331246103173,0.031668753896826995,0.8679778127199305,0.13202218728006954,0.9102072233969197,0.08979277660308027,0.9384047585591795,0.061595241440820514,0.9655229957712619,0.03447700422873812,0.9770241617114336,0.02297583828856642,0.8616030752914677,0.13839692470853227,0.9452135392390897,0.054786460760910316,0.8116427595750165,0.18835724042498347,0.04394440937149593,0.9560555906285041,0.002742631091665055,0.9972573689083349,0.0767682299749932,0.9232317700250068,0.0025319717672388246,0.9974680282327612,0.06902838003341447,0.9309716199665855,0.002693782626169637,0.9973062173738304,0.736908563052952,0.26309143694704795,0.6568292885292576,0.3431707114707424,0.5220027649554154,0.4779972350445846,0.6481539708893901,0.054786460760910316
front_loaded,synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,20,136.27024543217664,164.05929078822794,112.74515828892784,0.00048521160632482145,26274.70820392231,1.8466869453278598e-08,54151029.90412165,2054.7887796493274,26,164.05929078822794,0.1705292578808128,175996.81266843004,9.689337851934975e-07,1032062.2681149452,6.673368133808959,26,0.8539729199482683,0.1460270800517317,0.8200430650361112,0.17995693496388876,0.7383330802663134,0.2616669197336866,0.8510126313494504,0.14898736865054962,0.7409235447283888,0.25907645527161116,0.8644125949170167,0.13558740508298328,0.8686948770284394,0.1313051229715606,0.8082884068208911,0.1917115931791089,0.9182294153028108,0.08177058469718923,0.8336175287907513,0.16638247120924865,0.9097886857407311,0.09021131425926887,0.9361552935547037,0.06384470644529627,0.9774663033319149,0.022533696668085135,0.979778134057988,0.02022186594201203,0.8462934735349802,0.1537065264650198,0.9398410926291364,0.0601589073708636,0.7638435054877091,0.23615649451229093,0.02931184329854872,0.9706881567014513,0.0017241286380259252,0.998275871361974,0.051243614827002036,0.948756385172998,0.0014303857450259458,0.998569614254974,0.045037871053567886,0.9549621289464321,0.0013203054661812756,0.9986796945338188,0.37747270168502284,0.6225272983149772,0.34586963403716264,0.6541303659628374,0.29237256653229843,0.7076274334677015,0.7409574864182108,0.0601589073708636
front_loaded,synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,20,138.01981380786438,165.50080831363516,109.13080919827914,0.0002639077546567349,22239.189571603798,1.186678830211091e-08,84268799.1511668,3767.368664815102,26,165.50080831363516,0.19055805690855213,169091.94740259164,1.1269493304423998e-06,887351.3413486265,5.930086332975642,26,0.8256323474366727,0.1743676525633273,0.8002550556794341,0.1997449443205659,0.5877983451106595,0.41220165488934046,0.6350558884830384,0.3649441115169616,0.7732063367390584,0.22679366326094164,0.7897016330769911,0.21029836692300885,0.7593048962483899,0.24069510375161007,0.7893197452492072,0.21068025475079277,0.8928089201049216,0.10719107989507837,0.7525207223603655,0.2474792776396345,0.8141752672647498,0.18582473273525024,0.9284240419423039,0.07157595805769612,0.9802223250669788,0.019777674933021183,0.979017976294671,0.020982023705328978,0.8288317185338105,0.17116828146618945,0.9327426236117128,0.06725737638828722,0.7669975382051512,0.23300246179484885,0.024129266305917472,0.9758707336940825,0.0018361480040518287,0.9981638519959481,0.0425057131061225,0.9574942868938775,0.0015428095267490437,0.998457190473251,0.03750971785228468,0.9624902821477154,0.0014254976032983663,0.9985745023967016,0.3361383778515925,0.6638616221484075,0.2900551856892207,0.7099448143107794,0.22668897434571433,0.7733110256542857,0.7580389225361986,0.06725737638828722
front_loaded,synthetic_fructose_rich_glucose_pulse,sugar_separation,synthetic,216.0,20,140.54308460483674,166.50386507009145,113.01574895373045,0.0327232996175995,28619.43913027214,1.1433941618718343e-06,874589.0379245195,33.58395102795707,26,166.50386507009145,0.4146874079562527,174764.50464973273,2.372835426663894e-06,421436.7287182481,3.1855083726564777,26,0.8431292383582233,0.1568707616417767,0.825586324849056,0.17441367515094397,0.5869082433946705,0.4130917566053295,0.34201198166411256,0.6579880183358875,0.6936940339522832,0.30630596604771676,0.3781057661145505,0.6218942338854495,0.36225053990880207,0.6377494600911979,0.6380612053145274,0.36193879468547263,0.9155122155787715,0.0844877844212285,0.5567784235952182,0.44322157640478177,0.3741444978719163,0.6258555021280837,0.9056106538732775,0.09438934612672245,0.9737860047027166,0.02621399529728341,0.9730742822952388,0.026925717704761154,0.8031710270652216,0.1968289729347784,0.9229969853320668,0.07700301466793325,0.7703183195782545,0.22968168042174553,0.020862100398920225,0.9791378996010798,0.001922059066267553,0.9980779409337325,0.03689312848875485,0.9631068715112452,0.0016428463820920677,0.9983571536179079,0.032624704782314856,0.9673752952176852,0.001552780976444499,0.9984472190235555,0.41925219294390115,0.5807478070560989,0.3627971101641173,0.6372028898358827,0.28089486026386695,0.719105139736133,0.7407493556020909,0.07700301466793325
front_loaded,synthetic_low_yan_ladder,nitrogen_saturation,synthetic,216.0,20,127.04056043665146,154.76091851871723,83.99650486346687,0.00799073835609896,12472.924589222766,6.406467303589216e-07,1560922.6623848549,148.32924281215526,26,154.76091851871723,0.16370839267422357,161802.72934974235,1.011777695791287e-06,988359.4036118023,9.53619409954847,26,0.9544165221791973,0.04558347782080274,0.9667579056983859,0.03324209430161407,0.8126440636335858,0.18735593636641423,0.8943780850691886,0.10562191493081141,0.7756197665379556,0.2243802334620444,0.8569868121949848,0.14301318780501515,0.8888133035376123,0.11118669646238766,0.8497892569970081,0.15021074300299186,0.9724261055126391,0.027573894487360917,0.8819844731966052,0.11801552680339478,0.9476495744842657,0.05235042551573432,0.8804592898235678,0.1195407101764322,0.7711291098511398,0.2288708901488602,0.8135666493992297,0.18643335060077026,0.9808027133222462,0.019197286677753778,0.9926508135564438,0.007349186443556199,0.9025832875568055,0.0974167124431945,0.5238568248234744,0.4761431751765256,0.0025245998629701972,0.9974754001370298,0.6650269391471514,0.3349730608528486,0.001824184090318938,0.9981758159096811,0.6338185810433588,0.36618141895664125,0.0018320570686621322,0.9981679429313378,0.4101238244544726,0.5898761755455274,0.31368957187933866,0.6863104281206613,0.23192112217534547,0.7680788778246546,0.5745589267583326,0.007349186443556199
front_loaded,synthetic_low_sugar_saturation_scan,sugar_saturation,synthetic,168.0,16,121.22178266353593,148.87593845304497,39.292381536991584,2.0258085755656328e-14,3474.0466357001515,5.831264769873637e-18,1000000000000.0,3192198.566109056,25,148.87593845304497,0.15964357125594864,153069.11004752852,1.042950933773501e-06,958817.8768697199,8.54083461923495,26,0.9454114656618571,0.054588534338142924,0.9224259682375471,0.07757403176245292,0.9162598482473268,0.08374015175267324,0.8903893472165386,0.10961065278346138,0.8516095102812817,0.14839048971871827,0.8552441001754888,0.1447558998245112,0.9307243208506382,0.06927567914936184,0.8622026166247689,0.13779738337523106,0.9895642546896869,0.010435745310313105,0.9458421287849986,0.054157871215001374,0.9718320548322715,0.02816794516772847,0.9660078474341105,0.0339921525658895,0.9670693550385825,0.03293064496141751,0.9687357404383239,0.03126425956167611,0.8998345211860131,0.10016547881398685,0.9564689808140937,0.043531019185906294,0.9861267746111865,0.013873225388813526,0.10483624045128177,0.8951637595487182,0.01085568488383534,0.9891443151161646,0.17420086297543222,0.8257991370245678,0.009392271946269555,0.9906077280537304,0.1589433883864511,0.8410566116135489,0.010372316664653266,0.9896276833353468,0.9508085321186436,0.04919146788135642,0.9141474387495854,0.08585256125041463,0.8167467746055332,0.18325322539446676,0.5370091576175485,0.013873225388813526
front_loaded,synthetic_ethanol_inhibition_challenge,ethanol_inhibition,synthetic,216.0,20,130.54700924674606,158.24555899808044,100.86734287599691,0.0074460669516036694,12483.3992115324,5.96477515893656e-07,1676509.127928783,140.30546367890918,26,158.24555899808044,0.16505787814506043,162371.8595009765,1.0165423901182074e-06,983726.8073825394,7.439881476738435,26,0.902267888910124,0.097732111089876,0.8808714852311922,0.11912851476880781,0.9358114507608548,0.06418854923914519,0.8806962965123412,0.11930370348765884,0.9458200402034075,0.054179959796592514,0.8972787244367627,0.10272127556323729,0.9003635476277873,0.09963645237221275,0.8835754173093108,0.11642458269068923,0.8079863404078994,0.1920136595921006,0.9431490202212895,0.05685097977871045,0.939953928696213,0.06004607130378703,0.9365097992850301,0.06349020071496991,0.8781735441787543,0.12182645582124574,0.9051674198662907,0.09483258013370932,0.9233691014040257,0.07663089859597427,0.9706845930768697,0.029315406923130283,0.7578068448164306,0.24219315518356943,0.07311689815840496,0.9268831018415951,0.002194463293735651,0.9978055367062644,0.12388371251556925,0.8761162874844307,0.001874448333393123,0.9981255516666069,0.11038611706200786,0.8896138829379922,0.00181997209920961,0.9981800279007904,0.5723065984571013,0.4276934015428987,0.5137805473156787,0.4862194526843213,0.4381586039189317,0.5618413960810683,0.6758170182684244,0.029315406923130283
