group,n,rmse,mae,bias,obs_scale,median_obs,median_pred,relative_rmse,relative_bias,corr,state,adequacy_flag,adequacy_reason,species,pool,batch,scale_factor
core,131,12.861750156340648,8.206779657983155,0.1900735562539279,71.9928310213782,71.9928310213782,69.12745079344882,0.17865320718560665,0.002640173383339874,0.9120144345083894,E,adequate,error is within the pragmatic adequacy thresholds,,,,
core,131,14.66924986475628,10.813040543343858,-6.406064897992604,26.92,26.92,17.70836321201102,0.5449201287056568,-0.23796674955396,0.8773651875214139,F,adequate,error is within the pragmatic adequacy thresholds,,,,
core,131,10.477472968933784,6.547174212206222,0.7623596963469272,19.4525,7.49,11.021024569445032,0.5386183250961976,0.03919083389522823,0.9062030030635141,G,adequate,error is within the pragmatic adequacy thresholds,,,,
core,131,0.6456163524341033,0.48042140651978965,-0.062476715559291095,5.81,5.81,6.015006871847916,0.11112157528986288,-0.010753307325179191,0.9079177118504379,Gly,adequate,error is within the pragmatic adequacy thresholds,,,,
core,127,0.03576887063977913,0.02305262489044374,-0.011152920398707817,0.038125,0.01846,0.0,0.9381998856335508,-0.292535617015287,0.7011831060705768,N,weak_fit,high normalized error but limited systematic bias,,,,
core,124,0.44677382898193546,0.32024693638480156,-0.1488771268094149,1.27305,1.27305,1.247998853655647,0.350947589632721,-0.1169452313808687,0.6414223314782554,X,adequate,error is within the pragmatic adequacy thresholds,,,,
secondary,107,22.842892106311233,15.328939121025584,-4.36949342131911,206.0,206.0,198.66643615372217,0.11088782575879239,-0.02121113311319956,0.6791186261981235,AcAld,adequate,error is within the pragmatic adequacy thresholds,,,,
secondary,129,16.23449691739126,12.53447638223351,-0.24832077657525675,48.0,48.0,48.45784059593687,0.3382186857789846,-0.005173349511984515,0.4151818164398059,Pyr,adequate,error is within the pragmatic adequacy thresholds,,,,
aroma,17,0.0683099741562504,0.0617334884030028,0.0617334884030028,0.015919813603470143,0.01247281249175867,0.07514563351212342,4.290877761367786,3.877777085879093,0.4595689034208588,ethyl_acetate:condensate,structure_warning,normalized RMSE exceeds the observation scale,ethyl_acetate,condensate,,
aroma,17,4.77037120334643,3.810347928230482,-3.6191062984338034,8.2939076996105,8.2939076996105,4.688040366268175,0.5751656970538094,-0.43635719488459757,0.01966244894101285,ethyl_acetate:retained,structure_warning,poor shape correlation and high normalized error,ethyl_acetate,retained,,
aroma,52,3.615507731454665,2.551759633987218,-2.1658906235515794,7.589930803008623,7.589930803008623,4.192888392302512,0.4763558226408981,-0.28536368509354887,0.6049969205354571,ethyl_acetate:total,adequate,error is within the pragmatic adequacy thresholds,ethyl_acetate,total,,
aroma,44,0.011791294674362702,0.007433621973136484,-0.006648712718677404,0.01349081978239389,0.01238609379795685,0.007172027264751711,0.8740235852643186,-0.49283237237771604,0.6338368471028681,ethyl_octanoate:condensate,structure_warning,large normalized error with systematic bias,ethyl_octanoate,condensate,,
aroma,44,0.02159062472165366,0.015895425196912602,-0.0031065971879368545,0.034524019795125135,0.034524019795125135,0.038044863297583574,0.6253798036780844,-0.08998364635324164,0.36425288847554005,ethyl_octanoate:retained,adequate,error is within the pragmatic adequacy thresholds,ethyl_octanoate,retained,,
aroma,52,0.025197246447308322,0.016430679401714176,-0.00825449299790437,0.044667758333333335,0.044667758333333335,0.04329933841126303,0.5641036709134531,-0.18479756553497004,0.6394524547234425,ethyl_octanoate:total,adequate,error is within the pragmatic adequacy thresholds,ethyl_octanoate,total,,
aroma,44,0.598444540523442,0.35425698035953396,-0.31544787164117233,0.6985189388859917,0.4795121642665957,0.25676147122492127,0.8567334501736634,-0.45159530269036546,0.4475467504770839,isoamyl_acetate:condensate,structure_warning,large normalized error with systematic bias,isoamyl_acetate,condensate,,
aroma,44,1.8815991593184482,1.3819250134494774,-0.6976599527491444,5.20307736132758,5.20307736132758,4.975630743148969,0.3616319782795528,-0.13408602338580922,0.6447974055208127,isoamyl_acetate:retained,adequate,error is within the pragmatic adequacy thresholds,isoamyl_acetate,retained,,
aroma,52,2.099072208689589,1.4096550866826807,-0.8572450821764217,5.258392259104463,5.258392259104463,4.54188287694088,0.399185170154475,-0.16302417924265236,0.7800120547749607,isoamyl_acetate:total,adequate,error is within the pragmatic adequacy thresholds,isoamyl_acetate,total,,
co2,191,0.3834784251315518,0.33354612828131647,-0.17378393224789201,0.3085409998893738,0.3085409998893738,0.02135693207462997,1.2428767174185815,-0.5632442116613403,0.32808107279159765,CO2_rate_shape,structure_warning,CO2 signal shape is poorly correlated with ethanol-rate proxy,,,25170,1.9395205628404188
co2,117,0.1749734821890551,0.14093117630822574,0.05438232927698408,0.44743765890598297,0.40800541639328003,0.6009409092972239,0.3910566728265067,0.12154169009813068,0.9596371995658501,CO2_rate_shape,adequate,CO2 shape is compatible after per-batch scale fit,,,25171,4.0266899944108685
